"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL2048771";"";"0";"402.58";"1";"5.47";"4d, MCL-713";"Oc1ccccc1CNc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3";"Emax";"'='";"44.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2050642";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [33S]GTPgammaS binding after 60 mins by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046406";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL2048764";"";"0";"444.62";"1";"5.89";"3e, MCL-705";"c1cc2c(cc1CNc1ccc3c(c1)[C@@]14CCCC[C@H]1[C@@H](C3)N(CC1CCC1)CC4)OCO2";"Emax";"'='";"39.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2050642";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [33S]GTPgammaS binding after 60 mins by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046406";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL354172";"";"0";"285.39";"0";"2.97";"48";"C[C@H]1C2C(=O)c3ccc(O)cc3[C@@]1(C)CCN2CC1CC1";"Emax";"'='";"40.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL749739";"Incorporation of [35S]GTP-gamma-S, into CHO membranes expressing human Opioid receptor mu 1";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145777";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL4528962";"";"0";"470.61";"0";"4.71";"15h";"O=C1C(COCc2ccccc2)OC2(CCN(CCc3ccccc3)CC2)CN1c1ccccc1";"Emax";"'='";"96.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4440055";"";"0";"365.48";"0";"2.91";"15w";"CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2cccnc2)C1=O";"Emax";"'='";"54.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4448670";"";"0";"433.47";"0";"3.93";"15ab";"CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2ncccc2C(F)(F)F)C1=O";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4534193";"";"0";"382.48";"0";"3.65";"15ai";"CC1OC2(CCN(CCc3cccc(F)c3)CC2)CN(c2ccccc2)C1=O";"Emax";"'='";"94.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4571738";"";"0";"365.48";"0";"2.91";"15ap";"CC1OC2(CCN(CCc3cccnc3)CC2)CN(c2ccccc2)C1=O";"Emax";"'='";"85.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4086255";"";"0";"503.60";"1";"2.38";"24";"CN(C(=O)/C=C/c1cccnc1)[C@@H]1CC[C@@]2(O)[C@H]3[C@@H](O)c4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5";"Emax";"'='";"86.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4057029";"Agonist activity at human mu opioid receptor expressed in CHO-dhfr(-) cells assessed as inhibition of forskolin-induced cAMP accumulation by TR-FRET assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052747";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL1650847";"";"0";"439.65";"0";"3.90";"23";"CN1CCN(c2nc3ccccc3n2C2CCN(C3(CO)CCCCCCC3)CC2)CC1";"Emax";"'='";"13.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1659149";"Agonist activity at human MOP receptor expressed in CHO-K1 cells assessed as induction of [35S]GTPgammaS binding after 30 mins by liquid scintillation counting relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1649335";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"CHEMBL3307512";""
"CHEMBL1650842";"";"0";"470.03";"1";"6.61";"35";"OCC1(N2CCC(n3c(-c4ccc(F)c(Cl)c4)nc4ccccc43)CC2)CCCCCCC1";"Emax";"'='";"12.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1659149";"Agonist activity at human MOP receptor expressed in CHO-K1 cells assessed as induction of [35S]GTPgammaS binding after 30 mins by liquid scintillation counting relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1649335";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"CHEMBL3307512";""
"CHEMBL1774949";"";"0";"805.16";"2";"10.15";"15b, MCL-695";"O=C(CCCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3";"Emax";"'='";"46.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1777026";"Agonist activity at human mu-opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding after 60 mins by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772956";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL1773091";"";"0";"615.86";"2";"8.08";"13b, MCL-693";"CO[C@@]12CCCC[C@@]13CCN(CC1CCC1)[C@@H]2Cc1ccc(OC(=O)CCCCCCCCC(=O)OCc2ccccc2)cc13";"Emax";"'='";"54.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1777026";"Agonist activity at human mu-opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding after 60 mins by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772956";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL38874";"DAMGO";"0";"513.60";"2";"-0.94";"DAMGO";"C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL895006";"Agonist activity at human mu opioid receptor expressed in CHO cells by [35S]GTP-gamma-S assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148706";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308072";""
"CHEMBL396460";"NOCICEPTIN";"0";"1809.07";"None";"None";"N/OFQ(Nociceptin)";"CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)O";"Emax";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL838030";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO; ND denotes not determined";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL437602";"ORIPAVINE";"0";"297.35";"0";"2.12";"Oripavine";"COC1=CC=C2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL925794";"Activation of human mu opioid receptor expressed in HEK293a cells coexpressing YFP-labelled alphai1 and CFP-labelled beta-1-gamma-2 Gi subunits assessed as decrease in fluorescence resonance energy transfer signal at 10 uM relative to morphine";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147037";"1";"Scientific Literature";"J. Biol. Chem.";"2007";"CHEMBL3886041";""
"CHEMBL242968";"";"0";"339.48";"0";"3.65";"11, MCL-448";"NC(=O)Nc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3";"Emax";"'='";"21.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL893249";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTP-gamma-S binding relative to basal level after 60 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147995";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"CHEMBL3308072";""
"CHEMBL184127";"";"0";"391.58";"0";"3.52";"20h (trans)";"CC(C)C1CCC(N2CCC(N3c4ccccc4CNS3(=O)=O)CC2)CC1";"Emax";"'='";"16.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL838025";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL184234";"";"0";"403.59";"0";"3.66";"20g";"O=S1(=O)NCc2ccccc2N1C1CCN(C2CCC3CCCCC3C2)CC1";"Emax";"'='";"14.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL838025";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL186822";"";"0";"448.63";"0";"2.72";"24";"CC(C)C1CCC(N2CCC(N3c4ccccc4CN(CC(N)=O)S3(=O)=O)CC2)CC1";"Emax";"'='";"14.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL838025";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL184698";"";"0";"377.55";"0";"3.84";"19h";"CC(C)C1CCC(N2CCC(N3c4ccccc4NS3(=O)=O)CC2)CC1";"Emax";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL838033";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO; Partial antagonist with 5-10% activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL191014";"";"0";"495.53";"0";"3.69";"14";"COC(=O)[C@@H]1C[C@H](OC(=O)c2cccnc2)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C";"Emax";"'='";"110.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL831061";"Stimulatory effect on [35S]-GTP gammaS binding to Opioid receptor mu1 expressed in CHO cells compared to 10 uM DAMGO; ND = Not determined";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145160";"1";"Scientific Literature";"J. Med. Chem.";"2005";"CHEMBL3308072";""
"CHEMBL1824510";"";"0";"562.89";"1";"2.91";"2";"Cl.O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccnc(Br)c1";"Emax";"'='";"50.8";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1828465";"Agonist activity against mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]-GTPgammaS binding relative to DAMGO";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821548";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3308072";""
"CHEMBL376355";"";"0";"381.55";"0";"3.51";"22c";"Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CCC1)C2";"Emax";"'='";"33.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL904888";"Agonist activity at human mu opioid receptor expressed in CHO membrane assessed as stimulation of [35S]GTPgammaS binding";"F";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143667";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None";""
"CHEMBL390866";"";"0";"367.56";"0";"4.74";"10";"Nc1nc2cc3c(cc2s1)C[C@@H]1[C@@H]2CCCC[C@]32CCN1CC1CCC1";"Emax";"'='";"26.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1769435";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]GTPgammaS binding by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765082";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL1766022";"";"0";"359.51";"0";"4.30";"11";"Nc1nc2cc3c(cc2s1)C[C@@H]1[C@@H]2CCCC[C@]32CCN1CCCF";"Emax";"'='";"65.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1769435";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]GTPgammaS binding by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765082";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL1766036";"";"0";"381.59";"0";"4.83";"17a";"CN(C)c1nc2cc3c(cc2s1)C[C@@H]1[C@@H]2CCCC[C@]32CCN1CC1CC1";"Emax";"'='";"57.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1769435";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]GTPgammaS binding by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765082";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL4446209";"";"0";"422.53";"0";"3.06";"15i";"COC(=O)CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2ccccc2)C1=O";"Emax";"'='";"85.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4578955";"";"0";"365.48";"0";"2.91";"15v";"CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2ccccn2)C1=O";"Emax";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4536259";"";"0";"382.48";"0";"3.65";"15ah";"CC1OC2(CCN(CCc3ccccc3F)CC2)CN(c2ccccc2)C1=O";"Emax";"'='";"95.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4356652";"Agonist activity at human MOR expressed in CHOK1 cells assessed as stimulation of cAMP accumulation incubated for 45 mins by HTRF assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4354824";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL184381";"";"0";"365.54";"0";"3.13";"20j";"CC(C)CCC(C)N1CCC(N2c3ccccc3CNS2(=O)=O)CC1";"Emax";"'='";"59.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL838025";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL255467";"MORPHINONE";"0";"283.33";"0";"1.41";"Morphinone";"CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)C=C[C@H]3[C@H]1C5";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL925794";"Activation of human mu opioid receptor expressed in HEK293a cells coexpressing YFP-labelled alphai1 and CFP-labelled beta-1-gamma-2 Gi subunits assessed as decrease in fluorescence resonance energy transfer signal at 10 uM relative to morphine";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147037";"1";"Scientific Literature";"J. Biol. Chem.";"2007";"CHEMBL3886041";""
"CHEMBL441765";"U-50488 METHANE SULFONATE";"1";"369.34";"0";"4.40";"(-)-U-50488";"CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1";"Emax";"'='";"35.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL923556";"Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTP-gamma-S binding assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144846";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308072";""
"CHEMBL2048770";"";"0";"416.61";"1";"5.86";"4c, MCL-706";"Oc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1";"Emax";"'='";"38.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2050642";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [33S]GTPgammaS binding after 60 mins by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046406";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL410436";"";"0";"500.57";"1";"4.36";"3n";"COC(=O)[C@@H]1C[C@H](OC(=O)c2ccsc2)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C";"Emax";"'='";"108.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL923556";"Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTP-gamma-S binding assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144846";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308072";""
"CHEMBL184127";"";"0";"391.58";"0";"3.52";"20h (cis)";"CC(C)C1CCC(N2CCC(N3c4ccccc4CNS3(=O)=O)CC2)CC1";"Emax";"'='";"16.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL838025";"Agonist activity as maximal effect in [35S]-GTP-gamma binding assay compared to 10 uM DAMGO";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137888";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL213155";"";"0";"431.49";"0";"2.57";"7a";"COC(=O)[C@@H]1C[C@H](NC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C";"Emax";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL923556";"Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTP-gamma-S binding assay relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144846";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308072";""
"CHEMBL403893";"THEBAINE";"0";"311.38";"0";"2.42";"thebaine";"COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5";"Emax";"'='";"76.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL925793";"Activation of human mu opioid receptor expressed in HEK293a cells co-expressing YFP-labelled alphai1 and CFP-labelled beta1gamma2 Gi subunits assessed as decrease in fluorescence resonance energy transfer signal at 100 uM relative to morphine";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-A";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147037";"1";"Scientific Literature";"J. Biol. Chem.";"2007";"CHEMBL3886041";""
